Series ID,Year,Period,Label,Value
APU0000717311,2023,M01,2023 Jan,6.358
APU0000717311,2023,M02,2023 feb,6.351
APU0000717311,2023,M03,2023 mar,6.184
APU0000717311,2023,M04,2023 Apr,6.04
APU0000717311,2023,M05,2023 may,6.094
APU0000717311,2023,M06,2023 jun,6.091
APU0000717311,2023,M07,2023 jul,6.141
APU0000717311,2023,M08,2023 Aug,6.091
APU0000717311,2023,M09,2023 sep,6.085
APU0000717311,2023,M10,2023 oct,6.178
APU0000717311,2023,M11,2023 nov,6.169
APU0000717311,2023,M12,2023 Dec,6.092
APU0000717311,2024,M01,2024 Jan,6.124
APU0000717311,2024,M02,2024 feb,6.094
APU0000717311,2024,M03,2024 mar,5.964
APU0000717311,2024,M04,2024 Apr,6.063
APU0000717311,2024,M05,2024 may,5.991
APU0000717311,2024,M06,2024 jun,6.253
APU0000717311,2024,M07,2024 jul,6.307
APU0000717311,2024,M08,2024 Aug,6.311
APU0000717311,2024,M09,2024 sep,6.47
APU0000717311,2024,M10,2024 oct,6.644
APU0000717311,2024,M11,2024 nov,6.868
APU0000717311,2024,M12,2024 Dec,6.776
APU0000717311,2025,M01,2025 Jan,7.019
APU0000717311,2025,M02,2025 feb,7.246
APU0000717311,2025,M03,2025 mar,7.385
APU0000717311,2025,M04,2025 Apr,7.536
APU0000717311,2025,M05,2025 may,7.931
APU0000717311,2025,M06,2025 jun,8.132
APU0000717311,2025,M07,2025 jul,8.414
APU0000717311,2025,M08,2025 Aug,8.872
APU0000717311,2025,M09,2025 sep,9.139
APU0000717311,2025,M10,2025 oct,-
APU0000717311,2025,M11,2025 nov,9.258
APU0000717311,2025,M12,2025 Dec,9.053