"Coffee, Other Mild Arabicas - Monthly Price",,
Month,Price,Change
Dec-20,3.48,-
Jan-21,3.54,1.72%
Feb-21,3.67,3.67%
Mar-21,3.68,0.27%
Apr-21,3.72,1.09%
May-21,4.11,10.48%
Jun-21,4.24,3.16%
Jul-21,4.5,6.13%
Aug-21,4.77,6.00%
Sep-21,4.97,4.19%
Oct-21,5.31,6.84%
Nov-21,5.71,7.53%
Dec-21,5.91,3.50%
Jan-22,5.98,1.18%
Feb-22,6.17,3.18%
Mar-22,5.7,-7.62%
Apr-22,5.85,2.63%
May-22,5.74,-1.88%
Jun-22,6.03,5.05%
Jul-22,5.64,-6.47%
Aug-22,5.92,4.96%
Sep-22,5.9,-0.34%
Oct-22,5.29,-10.34%
Nov-22,4.72,-10.78%
Dec-22,4.63,-1.91%
Jan-23,4.56,-1.51%
Feb-23,5.06,10.96%
Mar-23,4.9,-3.16%
Apr-23,5.06,3.27%
May-23,4.85,-4.15%
Jun-23,4.57,-5.77%
Jul-23,4.27,-6.56%
Aug-23,4.12,-3.51%
Sep-23,4.05,-1.70%
Oct-23,4.05,0.00%
Nov-23,4.35,7.41%
Dec-23,4.65,6.90%
Jan-24,4.47,-3.87%
Feb-24,4.6,2.91%
Mar-24,4.61,0.22%
Apr-24,5.27,14.32%
May-24,5.08,-3.61%
Jun-24,5.48,7.87%
Jul-24,5.67,3.47%
Aug-24,5.76,1.59%
Sep-24,6.12,6.25%
Oct-24,6.1,-0.33%
Nov-24,6.72,10.16%
Dec-24,7.57,12.65%
Jan-25,7.81,3.17%
Feb-25,9.05,15.88%
Mar-25,8.92,-1.44%
Apr-25,8.64,-3.14%
May-25,8.77,1.50%
Jun-25,8.01,-8.67%